user_id,signup_date,plan_tier,company_size,region,industry,acquisition_channel,is_enterprise,churned_30d,churned_90d,downgraded,expansion_event,signup_month
f94d1824-8742-4000-8b6d-39d70958490b,2024-05-13,free,11-50,EU,software,seo,False,0,0,0,1,2024-05
ccf8fc06-3c86-433c-8867-9cba0fda337b,2024-10-28,free,1-10,APAC,transport,partner,False,0,0,0,1,2024-10
3e39c0ea-ebbf-43bc-abd5-ab92eff6fa10,2024-05-17,standard,200+,APAC,software,partner,False,0,0,0,1,2024-05
9304dcbe-682d-41fa-8bfd-861559f9f58b,2024-04-12,free,1-10,,software,ads,False,0,1,0,1,2024-04
9de7eaf6-bcb3-4bd4-99a9-b3ece69c01d9,2024-02-21,standard,51-200,APAC,energy,partner,False,0,1,0,1,2024-02
9c676e34-3e38-4740-8264-1641fe0f6be9,2024-06-01,standard,1-10,APAC,transport,partner,False,0,0,0,1,2024-06
5e9df73e-052e-402d-abdf-940f20f4d440,2024-09-02,standard,11-50,EU,retail,partner,False,0,0,0,0,2024-09
c245c942-db9b-4a58-8722-7f52320ec347,2024-04-28,free,11-50,,education,partner,False,0,1,0,1,2024-04
0b328ef5-0a2c-45ff-968b-71f8876ad6bf,2025-02-07,standard,11-50,,software,seo,False,1,1,0,1,2025-02
92e54b19-3423-4755-93dd-5631844498eb,2024-05-10,free,11-50,APAC,healthcare,seo,False,0,0,0,1,2024-05
13ff96c3-396e-44ad-a7f8-24c8f0d1350d,2024-06-10,standard,11-50,,telecom,ads,False,0,0,0,1,2024-06
8a6794f2-2158-4be4-a8fb-bf902f16e16b,2024-12-05,free,51-200,LATAM,transport,seo,False,0,0,0,1,2024-12
9b2af735-7971-4bd1-9b3f-d6345c251f85,2025-01-09,free,1-10,APAC,energy,ads,False,0,1,0,1,2025-01
71c3e590-ac99-45eb-bde2-c6244667245e,2025-03-20,standard,11-50,APAC,education,seo,False,0,0,0,0,2025-03
d0555a61-01e2-4018-99e9-409f4d9ed718,2025-02-20,free,1-10,,finance,partner,False,0,0,0,1,2025-02
9ba0dd35-1ef8-455b-b58f-fa6eb294a573,2024-08-10,premium,1-10,,energy,ads,False,0,0,0,1,2024-08
a4c9a3d1-3c39-4032-9aa8-472b800d4706,2024-07-10,standard,200+,,retail,outbound,True,0,1,0,0,2024-07
c2cb519d-ac2b-4ca3-8b26-5903b1ff1117,2024-02-22,premium,1-10,APAC,media,ads,False,0,1,0,1,2024-02
49e6065a-4e19-494e-ad3e-72624f8776f6,2025-05-20,free,11-50,EU,retail,ads,False,0,1,0,1,2025-05
a44b8970-3fec-47df-b07e-467e7ae8349f,2024-03-30,premium,51-200,EU,finance,ads,False,0,0,0,0,2024-03
ce843e44-c685-4588-9e15-997e3112ec54,2024-08-08,free,11-50,,telecom,outbound,False,0,1,0,1,2024-08
8ead262d-5a53-4c2a-b897-8676f5bad6f5,2024-10-01,standard,51-200,APAC,telecom,partner,False,0,1,1,0,2024-10
55d94d74-fc7d-45d5-aab5-eefc4685c668,2024-02-21,free,1-10,,retail,outbound,False,0,1,0,1,2024-02
6f8f6f68-4f76-465f-814f-1a3e6e504ad9,2024-07-16,standard,1-10,EU,finance,outbound,False,0,1,0,1,2024-07
0e33f86f-83c6-43ba-80d6-031970be7d64,2024-10-31,premium,11-50,APAC,manufacturing,partner,False,0,0,0,0,2024-10
ed400c18-8a60-482d-bd63-e59788808075,2024-12-12,premium,1-10,,education,seo,False,0,0,0,1,2024-12
d64fc896-1c80-4215-99ff-7cd37ba16904,2024-02-14,free,51-200,EU,transport,ads,False,1,0,0,0,2024-02
f8e0a344-b14c-49a5-8168-3bb5b87188b8,2024-09-29,free,200+,EU,finance,seo,False,0,0,0,0,2024-09
0a5320cd-e48b-4218-8a34-3a5f292fe959,2025-01-05,free,51-200,LATAM,energy,seo,False,0,1,0,0,2025-01
ab903086-511b-4c99-81b8-a7d3ae07a5b1,2025-02-01,standard,1-10,,finance,ads,False,0,0,0,1,2025-02
d25d171b-f289-48ac-ac44-dbe4c88be24d,2025-04-30,standard,200+,,retail,outbound,True,0,1,0,0,2025-04
a9556c8b-b4ea-4a68-95d7-d2089dde41a7,2025-06-23,standard,1-10,APAC,media,outbound,False,0,0,0,1,2025-06
f775aa87-b59b-47a3-bf81-b96e51bb3b29,2024-03-06,free,51-200,EU,education,partner,False,0,0,0,1,2024-03
c44c8671-b708-4505-919a-ab1afeabb1a7,2024-04-21,free,1-10,APAC,education,seo,False,0,0,0,1,2024-04
2e56c33e-4e00-41dc-9581-e81b2b5c00a2,2025-02-22,premium,1-10,,transport,seo,False,0,0,0,1,2025-02
9eeced56-d7f6-42cc-b26f-41ceec543a0b,2024-02-02,standard,51-200,,education,partner,False,0,0,0,0,2024-02
